job,project,services,address,latitude,longitude,blurb,image,video
1554C7A,Williams College Bookstore,,,,,,,
1531JFK,USS JFK,,,,,,,
1528RXR,470 Vanderbilt,,,,,,,
1523TBC,5 Crawford St,,,,,,,
1518TER,Music Hall,,,,,,,
1485GIB,32 Derne Street,,,,,,,
1480SCH,Floating House (Stingray),,,,,,,
1476EQO,399 Boylston Street,,,,,,,
1474GEN,Boston Properties R07,,,,,,,
1449MAD,312 North Carpenter,,,,,,,
1446T&B,UNH Soccer Field,,,,,,,
1414JLL,115 Hartwell Ave Lexington-Video,,,,,,,
1380SOM,COVE-Video,,,,,,,
1304GEN,Cadillac House,,,,,,,
1295HDR,Union Station-Video,,,,,,,
1295HDR,Union Station,,,,,,,
1274AVA,Avalon Princeton,,,,,,,
1267BOM,Boston Museum,,,,,,,
1259JLL,Congress Square,,,,,,,
1225TER,StoneBale,,,,,,,
1175GEN,TD Garden,,,,,,,
1146EDW,475 Fifth Ave,,,,,,,
1139JLL,Channel Center,,,,,,,
1121NOR,25 Network Drive,,,,,,,
1117TBC,Cambridge Discovery Park,,,,,,,
1110EQO,229 W43 6th Floor,,,,,,,
1099GEN,Center Plaza,,,,,,,
1099GEN,Center Plaza,,,,,,,
1091EQO,1095 Ave of the Americas-Lobby R01,,,,,,,
1078CUB,Metro Park East,,,,,,,
1076GEN,PwC,,,,,,,
1075GEN,Velcro HQ,,,,,,,
1070KFU,Trinity Place,,,,,,,
1069PRO,Brightview Canton,,,,,,,
1065COP,Portsmouth 3D Model,,,,,,,
1064GEN,Putnam,,,,,,,
1060PRI,299 Colt Highway,,,,,,,
1059OLD,30 Maplewood,,,,,,,
1055EQO,1140 Sixth Avenue,,,,,,,
1052PRO,Brightview Norwalk,,,,,,,
1051CJA,143 Daniel Street,,,,,,,
1030GEN,PNC Tower,,,,,,,
1020GEN,Fidelity,,,,,,,
1000SOM,Wright Ave,,,,,,,
998C7A,Tremont Crossing,,,,,,,
987IDE,Penguin Hall,,,,,,,
897IDE,Penguin Hall,,,,,,,
877SOL,Jeffesron Blvd,,,,,,,
872PRO,Portwalk Phase 3,,,,,,,
863EQU,Ballard-Urbana,,,,,,,
862DAT,Datagryd Video,,,,,,,
860BUL,The Atrium Center,,,,,,,
792KHJ,International Place,,,,,,,
789C7A,Manitoba Museum,,,,,,,
786GRE,83 Ocean Blvd.,,,,,,,
782AVA,Avalon Mosaic,,,,,,,
776EQU,Vista Montana,,,,,,,
773C7A,Boston Museum R01,,,,,,,
770ELM,Nordblom Burlington,,,,,,,
765CAT,Millinocket  Maine facility,,,,,,,
742TRO,Waterside Place,,,,,,,
741JRC,Tishomingo Interior Animation,,,,,,,
708SOL,Busan Competition,,,,,,,
689SOL,NY Tower,,,,,,,
680STO,True North,,,,,,,
645AVA,Westmont,,,,,,,
628P&W,Saraya HQ Tower,,,,,,,
609JCJ,Mohegan Sun,,,,,,,
587SOL,Bali MRC,,,,,,,
553SCH,Harvest City,,,,,,,
543KSC,BOAH,,,,,,,
531SCH,New Yacht-Audax,,,,,,,
530APN,Brockton Perspectives,,,,,,,
528SOT,32 Rutland Street,,,,,,,
519GEM,Kojak 100,,,,,,,
511ASC,UFO Museum Interiors,,,,,,,
509EQU,Redmond,,,,,,,
507JRC,Idabel Animation,,,,,,,
505C7A,U.S. Marshals Museum,,,,,,,
492AQX,New Orleans (original file),,,,,,,
485EQU,Longfellow-Interior&488 Pool,,,,,,,
478C7A,Boston Museum,,,,,,,
472SCH,New Yacht-Infinitas,,,,,,,
468SOM,Klines Furniture,,,,,,,
458JRC,ASTribe Animation,,,,,,,
412TRO,Dudley Square Competition,,,,,,,
381SCH,X-Yacht,,,,,,,
361NAV,PNSY-Flash & Flyin,,,,,,,
341DEL,Dubai Maritime City,,,,,,,
329CLA,Harvard Medical School,,,,,,,
301EQR,Westend,,,,,,,
301EQR,West End Boston,,,,,,,
